"Student Counts by District and Gender"
"All Districts"
"2016-17"

"",,"Gender",,
"Glastonbury School District","=""0540011""",3026,2970,5996
"Granby School District","=""0560011""",936,944,1880
"Great Oaks Charter School District","=""2940013""",155,169,324
"Greenwich School District","=""0570011""",4305,4666,8971
"Griswold School District","=""0580011""",923,925,1848
"Groton School District","=""0590011""",2187,2274,4461
"Guilford School District","=""0600011""",1664,1749,3413
"Hamden School District","=""0620011""",2628,2865,5493
"Hampton School District","=""0630011""",42,63,105
"Hartford School District","=""0640011""",10061,10830,20891
"Hartland School District","=""0650011""",85,104,189
"Hebron School District","=""0670011""",342,364,706
"Highville Charter School District","=""2860013""",259,243,502
"Integrated Day Charter School District","=""2640013""",166,164,330
"Interdistrict School for Arts and Comm District","=""2650013""",140,130,270
"Jumoke Academy District","=""2610013""",395,358,753
"Kent School District","=""0680011""",112,123,235
"Killingly School District","=""0690011""",1282,1268,2550
"Learn","=""2450014""",1246,1175,2421
"Lebanon School District","=""0710011""",505,515,1020
"Ledyard School District","=""0720011""",1185,1209,2394
"Lisbon School District","=""0730011""",216,185,401
"Litchfield School District","=""0740011""",448,498,946
"Madison School District","=""0760011""",1396,1545,2941
"Manchester School District","=""0770011""",3050,3240,6290
"Mansfield School District","=""0780011""",600,617,1217
"Marlborough School District","=""0790011""",243,292,535
"Meriden School District","=""0800011""",3774,4176,7950
"Middletown School District","=""0830011""",2275,2427,4702
"Milford School District","=""0840011""",2867,3059,5926
"Monroe School District","=""0850011""",1586,1603,3189
"Montville School District","=""0860011""",1083,1127,2210
"Naugatuck School District","=""0880011""",2007,2274,4281
"New Beginnings Inc Family Academy District","=""""",246,253,499
"New Britain School District","=""0890011""",4787,5357,10144
"New Canaan School District","=""0900011""",2071,2189,4260
"New Fairfield School District","=""0910011""",1141,1253,2394
"New Hartford School District","=""0920011""",229,215,444
"New Haven School District","=""0930011""",10830,11151,21981
"New London School District","=""0950011""",1717,1842,3559
"New Milford School District","=""0960011""",1997,2220,4217
"Newington School District","=""0940011""",1994,2075,4069
"Newtown School District","=""0970011""",2169,2301,4470
"Norfolk School District","=""0980011""",46,56,102
"North Branford School District","=""0990011""",908,934,1842
"North Canaan School District","=""1000011""",142,136,278
"North Haven School District","=""1010011""",1550,1612,3162
"North Stonington School District","=""1020011""",341,390,731
"Norwalk School District","=""1030011""",5510,5988,11498
"Norwich Free Academy District","=""9010022""",1200,1138,2338
"Norwich School District","=""1040011""",1737,1915,3652
"Odyssey Community School District","=""2630013""",162,166,328
"Old Saybrook School District","=""1060011""",661,656,1317
"Orange School District","=""1070011""",553,614,1167
"Oxford School District","=""1080011""",984,968,1952
"Park City Prep Charter School District","=""2830013""",168,192,360
"Path Academy District","=""2930013""",67,90,157
"Plainfield School District","=""1090011""",1135,1157,2292
"Plainville School District","=""1100011""",1139,1227,2366
"Plymouth School District","=""1110011""",701,803,1504
"Pomfret School District","=""1120011""",177,200,377
"Portland School District","=""1130011""",645,692,1337
"Preston School District","=""1140011""",224,206,430
"Putnam School District","=""1160011""",602,586,1188
"Redding School District","=""1170011""",450,487,937
"Regional School District 01","=""2010012""",209,217,426
"Regional School District 04","=""2040012""",486,466,952
"Regional School District 05","=""2050012""",1128,1120,2248
"Regional School District 06","=""2060012""",513,462,975
"Regional School District 07","=""2070012""",567,537,1104
"Regional School District 08","=""2080012""",757,801,1558
"Regional School District 09","=""2090012""",451,519,970
"Regional School District 10","=""2100012""",1136,1230,2366
"Regional School District 11","=""2110012""",116,135,251
"Regional School District 12","=""2120012""",361,349,710
"Regional School District 13","=""2130012""",854,891,1745
"Regional School District 14","=""2140012""",929,839,1768
"Regional School District 15","=""2150012""",1740,1989,3729
"Regional School District 16","=""2160012""",1096,1115,2211
"Regional School District 17","=""2170012""",1001,1116,2117
"Regional School District 18","=""2180012""",657,651,1308
"Regional School District 19","=""2190012""",625,579,1204
"Ridgefield School District","=""1180011""",2467,2517,4984
"Rocky Hill School District","=""1190011""",1310,1311,2621
"Salem School District","=""1210011""",206,203,409
"Salisbury School District","=""1220011""",143,137,280
"Scotland School District","=""1230011""",68,48,116
"Seymour School District","=""1240011""",1058,1100,2158
"Sharon School District","=""1250011""",79,71,150
"Shelton School District","=""1260011""",2306,2509,4815
"Sherman School District","=""1270011""",153,162,315
"Side By Side Charter School District","=""2700013""",126,110,236
"Simsbury School District","=""1280011""",2003,2158,4161
"Somers School District","=""1290011""",700,731,1431
"South Windsor School District","=""1320011""",2038,2150,4188
"Southington School District","=""1310011""",3239,3343,6582
"Sprague School District","=""1330011""",150,189,339
"Stafford School District","=""1340011""",747,779,1526
"Stamford Academy District","=""2820013""",64,84,148
"Stamford Charter School for Excellence District","=""2960013""",110,107,217
"Stamford School District","=""1350011""",7788,8312,16100
"Sterling School District","=""1360011""",200,231,431
"Stonington School District","=""1370011""",1032,1076,2108
"Stratford School District","=""1380011""",3334,3522,6856
"Suffield School District","=""1390011""",1145,1136,2281
"The Bridge Academy District","=""2690013""",148,133,281
"The Gilbert School District","=""9020022""",240,322,562
"Thomaston School District","=""1400011""",452,446,898
"Thompson School District","=""1410011""",466,552,1018
"Tolland School District","=""1420011""",1226,1258,2484
"Torrington School District","=""1430011""",1974,2227,4201
"Trailblazers Academy District","=""2780013""",56,73,129
"Trumbull School District","=""1440011""",3305,3380,6685
"Unified School District #1","=""3360015""","*","*",363
"Unified School District #2","=""3470015""",62,94,156
"Union School District","=""1450011""",37,"*","*"
"Vernon School District","=""1460011""",1584,1640,3224
"Voluntown School District","=""1470011""",137,148,285
"Wallingford School District","=""1480011""",2959,2949,5908
"Waterbury School District","=""1510011""",9250,9751,19001
"Waterford School District","=""1520011""",1243,1292,2535
"Watertown School District","=""1530011""",1300,1482,2782
"West Hartford School District","=""1550011""",4783,4982,9765
"West Haven School District","=""1560011""",2765,3021,5786
"Westbrook School District","=""1540011""",377,390,767
"Weston School District","=""1570011""",1110,1264,2374
"Westport School District","=""1580011""",2736,2887,5623
"Wethersfield School District","=""1590011""",1793,1803,3596
"Willington School District","=""1600011""",201,227,428
"Wilton School District","=""1610011""",2037,2041,4078
"Winchester School District","=""1620011""",255,310,565
"Windham School District","=""1630011""",1572,1765,3337
"Windsor Locks School District","=""1650011""",785,787,1572
"Windsor School District","=""1640011""",1536,1676,3212
"Wolcott School District","=""1660011""",1077,1208,2285
"Woodbridge School District","=""1670011""",377,403,780
"Woodstock Academy District","=""9030022""",551,514,1065
"Woodstock School District","=""1690011""",421,421,842
"Total","=""""",260768,278125,538893

