"Student Counts by District and Gender"
"All Districts"
"2013-14"

"",,"Gender",,
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",196,170,366
"Eastford School District","=""0390011""",74,78,152
"Easton School District","=""0460011""",448,514,962
"Education Connection","=""2420014""",106,123,229
"Ellington School District","=""0480011""",1313,1351,2664
"Elm City College Preparatory School District","=""2890013""",346,278,624
"Enfield School District","=""0490011""",2523,2702,5225
"Essex School District","=""0500011""",238,272,510
"Explorations District","=""2720013""",41,42,83
"Fairfield School District","=""0510011""",5040,5248,10288
"Farmington School District","=""0520011""",1924,2112,4036
"Franklin School District","=""0530011""",85,100,185
"Glastonbury School District","=""0540011""",3247,3163,6410
"Granby School District","=""0560011""",1010,1055,2065
"Greenwich School District","=""0570011""",4272,4514,8786
"Griswold School District","=""0580011""",958,1023,1981
"Groton School District","=""0590011""",2286,2416,4702
"Guilford School District","=""0600011""",1719,1821,3540
"Hamden School District","=""0620011""",2771,3040,5811
"Hampton School District","=""0630011""",45,66,111
"Hartford School District","=""0640011""",10459,11361,21820
"Hartland School District","=""0650011""",95,110,205
"Hebron School District","=""0670011""",418,450,868
"Highville Charter School District","=""2860013""",181,180,361
"Integrated Day Charter School District","=""2640013""",163,167,330
"Interdistrict School for Arts and Comm District","=""2650013""",139,107,246
"Jumoke Academy District","=""2610013""",384,320,704
"Kent School District","=""0680011""",119,153,272
"Killingly School District","=""0690011""",1325,1346,2671
"Learn","=""2450014""",1091,1046,2137
"Lebanon School District","=""0710011""",572,586,1158
"Ledyard School District","=""0720011""",1288,1292,2580
"Lisbon School District","=""0730011""",186,216,402
"Litchfield School District","=""0740011""",489,503,992
"Madison School District","=""0760011""",1581,1716,3297
"Manchester School District","=""0770011""",3021,3235,6256
"Mansfield School District","=""0780011""",609,640,1249
"Marlborough School District","=""0790011""",289,316,605
"Meriden School District","=""0800011""",3909,4274,8183
"Middletown School District","=""0830011""",2356,2491,4847
"Milford School District","=""0840011""",3079,3355,6434
"Monroe School District","=""0850011""",1629,1750,3379
"Montville School District","=""0860011""",1185,1233,2418
"Naugatuck School District","=""0880011""",2032,2324,4356
"New Beginnings Inc., Family Academy District","=""2800013""",202,200,402
"New Britain School District","=""0890011""",4793,5343,10136
"New Canaan School District","=""0900011""",2056,2136,4192
"New Fairfield School District","=""0910011""",1290,1440,2730
"New Hartford School District","=""0920011""",282,263,545
"New Haven School District","=""0930011""",10540,10880,21420
"New London School District","=""0950011""",1431,1684,3115
"New Milford School District","=""0960011""",2169,2335,4504
"Newington School District","=""0940011""",2098,2146,4244
"Newtown School District","=""0970011""",2381,2539,4920
"Norfolk School District","=""0980011""",55,62,117
"North Branford School District","=""0990011""",983,1035,2018
"North Canaan School District","=""1000011""",149,146,295
"North Haven School District","=""1010011""",1652,1750,3402
"North Stonington School District","=""1020011""",352,399,751
"Norwalk School District","=""1030011""",5408,5761,11169
"Norwich Free Academy District","=""9010022""",1249,1075,2324
"Norwich School District","=""1040011""",1838,1966,3804
"Odyssey Community School District","=""2630013""",153,172,325
"Old Saybrook School District","=""1060011""",736,710,1446
"Orange School District","=""1070011""",587,605,1192
"Oxford School District","=""1080011""",1027,1026,2053
"Park City Prep Charter School District","=""2830013""",134,126,260
"Plainfield School District","=""1090011""",1229,1233,2462
"Plainville School District","=""1100011""",1136,1202,2338
"Plymouth School District","=""1110011""",735,842,1577
"Pomfret School District","=""1120011""",208,218,426
"Portland School District","=""1130011""",690,692,1382
"Preston School District","=""1140011""",225,208,433
"Putnam School District","=""1160011""",597,668,1265
"Redding School District","=""1170011""",517,543,1060
"Regional School District 01","=""2010012""",233,199,432
"Regional School District 04","=""2040012""",501,482,983
"Regional School District 05","=""2050012""",1154,1218,2372
"Regional School District 06","=""2060012""",513,483,996
"Regional School District 07","=""2070012""",586,553,1139
"Regional School District 08","=""2080012""",819,924,1743
"Regional School District 09","=""2090012""",546,536,1082
"Regional School District 10","=""2100012""",1230,1347,2577
"Regional School District 11","=""2110012""",139,156,295
"Regional School District 12","=""2120012""",403,397,800
"Regional School District 13","=""2130012""",891,984,1875
"Regional School District 14","=""2140012""",1007,898,1905
"Regional School District 15","=""2150012""",1921,2081,4002
"Regional School District 16","=""2160012""",1186,1166,2352
"Regional School District 17","=""2170012""",1096,1185,2281
"Regional School District 18","=""2180012""",690,721,1411
"Regional School District 19","=""2190012""",611,594,1205
"Ridgefield School District","=""1180011""",2581,2712,5293
"Rocky Hill School District","=""1190011""",1215,1210,2425
"Salem School District","=""1210011""",208,227,435
"Salisbury School District","=""1220011""",141,139,280
"Scotland School District","=""1230011""",72,61,133
"Seymour School District","=""1240011""",1122,1184,2306
"Sharon School District","=""1250011""",83,94,177
"Shelton School District","=""1260011""",2430,2552,4982
"Sherman School District","=""1270011""",180,193,373
"Side By Side Charter School District","=""2700013""",113,122,235
"Simsbury School District","=""1280011""",2100,2277,4377
"Somers School District","=""1290011""",747,768,1515
"South Windsor School District","=""1320011""",2069,2218,4287
"Southington School District","=""1310011""",3314,3390,6704
"Sprague School District","=""1330011""",173,192,365
"Stafford School District","=""1340011""",815,819,1634
"Stamford Academy District","=""2820013""",67,80,147
"Stamford School District","=""1350011""",7711,8216,15927
"Sterling School District","=""1360011""",220,265,485
"Stonington School District","=""1370011""",1124,1196,2320
"Stratford School District","=""1380011""",3503,3713,7216
"Suffield School District","=""1390011""",1241,1188,2429
"The Bridge Academy District","=""2690013""",143,134,277
"The Gilbert School District","=""9020022""",222,315,537
"Thomaston School District","=""1400011""",467,483,950
"Thompson School District","=""1410011""",530,549,1079
"Tolland School District","=""1420011""",1336,1396,2732
"Torrington School District","=""1430011""",2020,2333,4353
"Trailblazers Academy District","=""2780013""",73,89,162
"Trumbull School District","=""1440011""",3394,3430,6824
"Unified School District #1","=""3360015""","*","*",539
"Unified School District #2","=""3470015""",50,178,228
"Union School District","=""1450011""","*","*",78
"Vernon School District","=""1460011""",1633,1717,3350
"Voluntown School District","=""1470011""",160,150,310
"Wallingford School District","=""1480011""",3080,3028,6108
"Waterbury School District","=""1510011""",9118,9588,18706
"Waterford School District","=""1520011""",1250,1322,2572
"Watertown School District","=""1530011""",1415,1517,2932
"West Hartford School District","=""1550011""",4842,5077,9919
"West Haven School District","=""1560011""",2920,3090,6010
"Westbrook School District","=""1540011""",397,442,839
"Weston School District","=""1570011""",1136,1285,2421
"Westport School District","=""1580011""",2806,2980,5786
"Wethersfield School District","=""1590011""",1853,1874,3727
"Willington School District","=""1600011""",215,243,458
"Wilton School District","=""1610011""",2123,2176,4299
"Winchester School District","=""1620011""",293,359,652
"Windham School District","=""1630011""",1546,1727,3273
"Windsor Locks School District","=""1650011""",802,885,1687
"Windsor School District","=""1640011""",1585,1698,3283
"Wolcott School District","=""1660011""",1214,1277,2491
"Woodbridge School District","=""1670011""",383,387,770
"Woodstock Academy District","=""9030022""",519,514,1033
"Woodstock School District","=""1690011""",459,445,904
"Total","=""""",265936,283941,549877

