"Student Counts by District and Gender"
"All Districts"
"2011-12"

"",,"Gender",,
"Explorations District","=""2720013""",39,35,74
"Fairfield School District","=""0510011""",5088,5247,10335
"Farmington School District","=""0520011""",1943,2126,4069
"Franklin School District","=""0530011""",95,111,206
"Glastonbury School District","=""0540011""",3372,3349,6721
"Granby School District","=""0560011""",1061,1110,2171
"Greenwich School District","=""0570011""",4256,4566,8822
"Griswold School District","=""0580011""",968,1006,1974
"Groton School District","=""0590011""",2423,2567,4990
"Guilford School District","=""0600011""",1797,1887,3684
"Hamden School District","=""0620011""",2831,3066,5897
"Hampton School District","=""0630011""",47,79,126
"Hartford School District","=""0640011""",10255,11042,21297
"Hartland School District","=""0650011""",101,126,227
"Hebron School District","=""0670011""",499,549,1048
"Highville Charter School District","=""2860013""",179,158,337
"Integrated Day Charter School District","=""2640013""",162,168,330
"Interdistrict School for Arts and Comm District","=""2650013""",107,84,191
"Jumoke Academy District","=""2610013""",279,209,488
"Kent School District","=""0680011""",130,148,278
"Killingly School District","=""0690011""",1328,1376,2704
"Learn","=""2450014""",762,752,1514
"Lebanon School District","=""0710011""",659,634,1293
"Ledyard School District","=""0720011""",1287,1317,2604
"Lisbon School District","=""0730011""",220,261,481
"Litchfield School District","=""0740011""",564,569,1133
"Madison School District","=""0760011""",1688,1777,3465
"Manchester School District","=""0770011""",3047,3407,6454
"Mansfield School District","=""0780011""",635,694,1329
"Marlborough School District","=""0790011""",329,343,672
"Meriden School District","=""0800011""",3998,4344,8342
"Middletown School District","=""0830011""",2468,2638,5106
"Milford School District","=""0840011""",3280,3556,6836
"Monroe School District","=""0850011""",1722,1867,3589
"Montville School District","=""0860011""",1257,1318,2575
"Naugatuck School District","=""0880011""",2162,2373,4535
"New Beginnings Inc., Family Academy District","=""2800013""",197,164,361
"New Britain School District","=""0890011""",4874,5394,10268
"New Canaan School District","=""0900011""",2062,2111,4173
"New Fairfield School District","=""0910011""",1369,1509,2878
"New Hartford School District","=""0920011""",298,285,583
"New Haven School District","=""0930011""",10258,10390,20648
"New London School District","=""0950011""",1361,1637,2998
"New Milford School District","=""0960011""",2244,2444,4688
"Newington School District","=""0940011""",2134,2244,4378
"Newtown School District","=""0970011""",2561,2755,5316
"Norfolk School District","=""0980011""",59,65,124
"North Branford School District","=""0990011""",1104,1083,2187
"North Canaan School District","=""1000011""",160,148,308
"North Haven School District","=""1010011""",1729,1851,3580
"North Stonington School District","=""1020011""",368,413,781
"Norwalk School District","=""1030011""",5432,5751,11183
"Norwich Free Academy District","=""9010022""",1249,1066,2315
"Norwich School District","=""1040011""",1868,2015,3883
"Odyssey Community School District","=""2630013""",148,166,314
"Old Saybrook School District","=""1060011""",797,774,1571
"Orange School District","=""1070011""",644,629,1273
"Oxford School District","=""1080011""",1077,1070,2147
"Park City Prep Charter School District","=""2830013""",123,134,257
"Plainfield School District","=""1090011""",1269,1324,2593
"Plainville School District","=""1100011""",1168,1256,2424
"Plymouth School District","=""1110011""",774,891,1665
"Pomfret School District","=""1120011""",236,239,475
"Portland School District","=""1130011""",683,689,1372
"Preston School District","=""1140011""",207,197,404
"Putnam School District","=""1160011""",591,673,1264
"Redding School District","=""1170011""",600,610,1210
"Regional School District 01","=""2010012""",236,231,467
"Regional School District 04","=""2040012""",502,461,963
"Regional School District 05","=""2050012""",1176,1268,2444
"Regional School District 06","=""2060012""",536,509,1045
"Regional School District 07","=""2070012""",590,573,1163
"Regional School District 08","=""2080012""",843,949,1792
"Regional School District 09","=""2090012""",528,494,1022
"Regional School District 10","=""2100012""",1283,1396,2679
"Regional School District 11","=""2110012""",134,166,300
"Regional School District 12","=""2120012""",411,478,889
"Regional School District 13","=""2130012""",965,1036,2001
"Regional School District 14","=""2140012""",1059,959,2018
"Regional School District 15","=""2150012""",2034,2207,4241
"Regional School District 16","=""2160012""",1256,1231,2487
"Regional School District 17","=""2170012""",1183,1212,2395
"Regional School District 18","=""2180012""",707,749,1456
"Regional School District 19","=""2190012""",615,623,1238
"Ridgefield School District","=""1180011""",2597,2782,5379
"Rocky Hill School District","=""1190011""",1257,1282,2539
"Salem School District","=""1210011""",213,232,445
"Salisbury School District","=""1220011""",157,154,311
"Scotland School District","=""1230011""",73,59,132
"Seymour School District","=""1240011""",1138,1172,2310
"Sharon School District","=""1250011""",90,101,191
"Shelton School District","=""1260011""",2555,2690,5245
"Sherman School District","=""1270011""",191,207,398
"Side By Side Charter School District","=""2700013""",110,122,232
"Simsbury School District","=""1280011""",2219,2471,4690
"Somers School District","=""1290011""",799,823,1622
"South Windsor School District","=""1320011""",2075,2320,4395
"Southington School District","=""1310011""",3311,3434,6745
"Sprague School District","=""1330011""",183,197,380
"Stafford School District","=""1340011""",919,911,1830
"Stamford Academy District","=""2820013""",48,90,138
"Stamford School District","=""1350011""",7543,8028,15571
"Sterling School District","=""1360011""",228,266,494
"Stonington School District","=""1370011""",1162,1268,2430
"Stratford School District","=""1380011""",3587,3713,7300
"Suffield School District","=""1390011""",1266,1237,2503
"The Bridge Academy District","=""2690013""",145,131,276
"The Gilbert School District","=""9020022""",261,281,542
"Thomaston School District","=""1400011""",521,543,1064
"Thompson School District","=""1410011""",595,607,1202
"Tolland School District","=""1420011""",1446,1530,2976
"Torrington School District","=""1430011""",2141,2424,4565
"Trailblazers Academy District","=""2780013""",73,97,170
"Trumbull School District","=""1440011""",3459,3500,6959
"Unified School District #1","=""3360015""","*","*",744
"Unified School District #2","=""3470015""",62,200,262
"Union School District","=""1450011""","*","*",74
"Vernon School District","=""1460011""",1721,1869,3590
"Voluntown School District","=""1470011""",167,156,323
"Wallingford School District","=""1480011""",3260,3175,6435
"Waterbury School District","=""1510011""",8816,9359,18175
"Waterford School District","=""1520011""",1280,1431,2711
"Watertown School District","=""1530011""",1507,1599,3106
"West Hartford School District","=""1550011""",4962,5185,10147
"West Haven School District","=""1560011""",2981,3150,6131
"Westbrook School District","=""1540011""",446,482,928
"Weston School District","=""1570011""",1200,1290,2490
"Westport School District","=""1580011""",2834,2923,5757
"Wethersfield School District","=""1590011""",1813,1898,3711
"Willington School District","=""1600011""",243,252,495
"Wilton School District","=""1610011""",2125,2211,4336
"Winchester School District","=""1620011""",301,408,709
"Windham School District","=""1630011""",1508,1763,3271
"Windsor Locks School District","=""1650011""",868,895,1763
"Windsor School District","=""1640011""",1707,1813,3520
"Wolcott School District","=""1660011""",1303,1361,2664
"Woodbridge School District","=""1670011""",356,382,738
"Woodstock Academy District","=""9030022""",572,526,1098
"Woodstock School District","=""1690011""",434,460,894
"Total","=""""",269917,288460,558377

