"Student Counts by District and Gender"
"All Districts"
"2014-15"

"",,"Gender",,
"Plymouth School District","=""1110011""",739,817,1556
"Pomfret School District","=""1120011""",195,215,410
"Portland School District","=""1130011""",664,670,1334
"Preston School District","=""1140011""",217,209,426
"Putnam School District","=""1160011""",614,638,1252
"Redding School District","=""1170011""",476,525,1001
"Regional School District 01","=""2010012""",210,196,406
"Regional School District 04","=""2040012""",492,482,974
"Regional School District 05","=""2050012""",1139,1189,2328
"Regional School District 06","=""2060012""",511,460,971
"Regional School District 07","=""2070012""",542,534,1076
"Regional School District 08","=""2080012""",795,866,1661
"Regional School District 09","=""2090012""",517,548,1065
"Regional School District 10","=""2100012""",1183,1301,2484
"Regional School District 11","=""2110012""",132,146,278
"Regional School District 12","=""2120012""",376,376,752
"Regional School District 13","=""2130012""",893,939,1832
"Regional School District 14","=""2140012""",952,851,1803
"Regional School District 15","=""2150012""",1861,2007,3868
"Regional School District 16","=""2160012""",1169,1160,2329
"Regional School District 17","=""2170012""",1045,1141,2186
"Regional School District 18","=""2180012""",668,686,1354
"Regional School District 19","=""2190012""",624,580,1204
"Ridgefield School District","=""1180011""",2547,2631,5178
"Rocky Hill School District","=""1190011""",1232,1255,2487
"Salem School District","=""1210011""",184,215,399
"Salisbury School District","=""1220011""",133,140,273
"Scotland School District","=""1230011""",71,58,129
"Seymour School District","=""1240011""",1118,1168,2286
"Sharon School District","=""1250011""",90,87,177
"Shelton School District","=""1260011""",2424,2523,4947
"Sherman School District","=""1270011""",180,169,349
"Side By Side Charter School District","=""2700013""",117,118,235
"Simsbury School District","=""1280011""",2072,2235,4307
"Somers School District","=""1290011""",727,753,1480
"South Windsor School District","=""1320011""",2039,2177,4216
"Southington School District","=""1310011""",3252,3374,6626
"Sprague School District","=""1330011""",161,205,366
"Stafford School District","=""1340011""",788,798,1586
"Stamford Academy District","=""2820013""",60,81,141
"Stamford School District","=""1350011""",7842,8243,16085
"Sterling School District","=""1360011""",210,257,467
"Stonington School District","=""1370011""",1085,1182,2267
"Stratford School District","=""1380011""",3463,3597,7060
"Suffield School District","=""1390011""",1212,1185,2397
"The Bridge Academy District","=""2690013""",142,133,275
"The Gilbert School District","=""9020022""",224,328,552
"Thomaston School District","=""1400011""",459,453,912
"Thompson School District","=""1410011""",470,546,1016
"Tolland School District","=""1420011""",1323,1354,2677
"Torrington School District","=""1430011""",1976,2327,4303
"Trailblazers Academy District","=""2780013""",51,68,119
"Trumbull School District","=""1440011""",3347,3369,6716
"Unified School District #1","=""3360015""","*","*",410
"Unified School District #2","=""3470015""",60,155,215
"Union School District","=""1450011""",41,39,80
"Vernon School District","=""1460011""",1603,1679,3282
"Voluntown School District","=""1470011""",156,161,317
"Wallingford School District","=""1480011""",3070,3035,6105
"Waterbury School District","=""1510011""",9199,9679,18878
"Waterford School District","=""1520011""",1252,1300,2552
"Watertown School District","=""1530011""",1344,1504,2848
"West Hartford School District","=""1550011""",4798,4996,9794
"West Haven School District","=""1560011""",2883,3057,5940
"Westbrook School District","=""1540011""",385,422,807
"Weston School District","=""1570011""",1125,1288,2413
"Westport School District","=""1580011""",2829,2943,5772
"Wethersfield School District","=""1590011""",1823,1824,3647
"Willington School District","=""1600011""",199,231,430
"Wilton School District","=""1610011""",2111,2161,4272
"Winchester School District","=""1620011""",269,340,609
"Windham School District","=""1630011""",1520,1670,3190
"Windsor Locks School District","=""1650011""",797,867,1664
"Windsor School District","=""1640011""",1509,1659,3168
"Wolcott School District","=""1660011""",1143,1222,2365
"Woodbridge School District","=""1670011""",404,393,797
"Woodstock Academy District","=""9030022""",526,486,1012
"Woodstock School District","=""1690011""",442,431,873
"Total","=""""",264341,282006,546347

