"Student Counts by District and Gender"
"All Districts"
"2018-19"

"",,"Gender",,
"Regional School District 01","=""2010012""","*",203,391
"Regional School District 04","=""2040012""",454,443,897
"Regional School District 05","=""2050012""",1090,1096,2186
"Regional School District 06","=""2060012""",475,"*",912
"Regional School District 07","=""2070012""",555,520,1075
"Regional School District 08","=""2080012""",703,753,1456
"Regional School District 09","=""2090012""",425,464,889
"Regional School District 10","=""2100012""",1098,1175,2273
"Regional School District 11","=""2110012""",99,133,232
"Regional School District 12","=""2120012""",352,333,685
"Regional School District 13","=""2130012""","*",813,1617
"Regional School District 14","=""2140012""",862,"*",1656
"Regional School District 15","=""2150012""",1726,1902,3628
"Regional School District 16","=""2160012""",1037,1097,2134
"Regional School District 17","=""2170012""",964,1062,2026
"Regional School District 18","=""2180012""",619,644,1263
"Regional School District 19","=""2190012""",578,572,1150
"Ridgefield School District","=""1180011""",2386,2474,4860
"Rocky Hill School District","=""1190011""",1384,1364,2748
"Salem School District","=""1210011""",216,"*",418
"Salisbury School District","=""1220011""",150,137,287
"Scotland School District","=""1230011""",59,46,105
"Seymour School District","=""1240011""",1075,1103,2178
"Sharon School District","=""1250011""",54,61,115
"Shelton School District","=""1260011""","*",2462,4713
"Sherman School District","=""1270011""",138,141,279
"Side By Side Charter School District","=""2700013""",121,115,236
"Simsbury School District","=""1280011""",1968,2112,4080
"Somers School District","=""1290011""",673,706,1379
"South Windsor School District","=""1320011""",2106,2264,4370
"Southington School District","=""1310011""",3111,3274,6385
"Sprague School District","=""1330011""",136,184,320
"Stafford School District","=""1340011""","*",785,1511
"Stamford Academy District","=""2820013""",68,84,152
"Stamford Charter School for Excellence District","=""2960013""",178,161,339
"Stamford School District","=""1350011""",7765,8288,16053
"Sterling School District","=""1360011""",164,204,368
"Stonington School District","=""1370011""",979,1071,2050
"Stratford School District","=""1380011""",3313,3503,6816
"Suffield School District","=""1390011""",1091,1057,2148
"The Bridge Academy District","=""2690013""",142,139,281
"The Gilbert School District","=""9020022""","*",275,511
"The Woodstock Academy District","=""9030022""",553,545,1098
"Thomaston School District","=""1400011""",444,409,853
"Thompson School District","=""1410011""",454,540,994
"Tolland School District","=""1420011""",1135,1257,2392
"Torrington School District","=""1430011""",1844,2068,3912
"Trailblazers Academy District","=""2780013""",57,70,127
"Trumbull School District","=""1440011""",3284,3460,6744
"Unified School District #1","=""3360015""",12,144,156
"Unified School District #2","=""3470015""",49,60,109
"Union School District","=""1450011""",30,"*","*"
"Vernon School District","=""1460011""",1519,1618,3137
"Voluntown School District","=""1470011""",124,144,268
"Wallingford School District","=""1480011""",2827,2943,5770
"Waterbury School District","=""1510011""",9087,9760,18847
"Waterford School District","=""1520011""","*",1260,2519
"Watertown School District","=""1530011""",1279,1475,2754
"West Hartford School District","=""1550011""",4725,4929,9654
"West Haven School District","=""1560011""",2810,3106,5916
"Westbrook School District","=""1540011""",347,331,678
"Weston School District","=""1570011""",1112,1210,2322
"Westport School District","=""1580011""",2693,2846,5539
"Wethersfield School District","=""1590011""","*",1810,3620
"Willington School District","=""1600011""",202,228,430
"Wilton School District","=""1610011""",1985,1970,3955
"Winchester School District","=""1620011""","*",298,554
"Windham School District","=""1630011""",1604,1773,3377
"Windsor Locks School District","=""1650011""",784,786,1570
"Windsor School District","=""1640011""",1575,1722,3297
"Wolcott School District","=""1660011""",1086,1158,2244
"Woodbridge School District","=""1670011""",393,454,847
"Woodstock School District","=""1690011""",428,413,841
"Total","=""""",256799,273769,530612

