"Student Counts by District and Gender"
"All Districts"
"2012-13"

"",,"Gender",,
"New London School District","=""0950011""",1434,1673,3107
"New Milford School District","=""0960011""",2220,2400,4620
"Newington School District","=""0940011""",2155,2188,4343
"Newtown School District","=""0970011""",2483,2676,5159
"Norfolk School District","=""0980011""",53,68,121
"North Branford School District","=""0990011""",1041,1053,2094
"North Canaan School District","=""1000011""",168,147,315
"North Haven School District","=""1010011""",1716,1821,3537
"North Stonington School District","=""1020011""",371,393,764
"Norwalk School District","=""1030011""",5402,5746,11148
"Norwich Free Academy District","=""9010022""",1193,1071,2264
"Norwich School District","=""1040011""",1873,1996,3869
"Odyssey Community School District","=""2630013""",157,167,324
"Old Saybrook School District","=""1060011""",772,733,1505
"Orange School District","=""1070011""",632,616,1248
"Oxford School District","=""1080011""",1071,1032,2103
"Park City Prep Charter School District","=""2830013""",116,135,251
"Plainfield School District","=""1090011""",1255,1252,2507
"Plainville School District","=""1100011""",1149,1227,2376
"Plymouth School District","=""1110011""",761,858,1619
"Pomfret School District","=""1120011""",237,239,476
"Portland School District","=""1130011""",700,682,1382
"Preston School District","=""1140011""",213,202,415
"Putnam School District","=""1160011""",599,674,1273
"Redding School District","=""1170011""",549,584,1133
"Regional School District 01","=""2010012""",225,199,424
"Regional School District 04","=""2040012""",515,479,994
"Regional School District 05","=""2050012""",1142,1227,2369
"Regional School District 06","=""2060012""",514,520,1034
"Regional School District 07","=""2070012""",583,563,1146
"Regional School District 08","=""2080012""",826,950,1776
"Regional School District 09","=""2090012""",537,495,1032
"Regional School District 10","=""2100012""",1255,1383,2638
"Regional School District 11","=""2110012""",136,154,290
"Regional School District 12","=""2120012""",411,432,843
"Regional School District 13","=""2130012""",949,1011,1960
"Regional School District 14","=""2140012""",1021,922,1943
"Regional School District 15","=""2150012""",1950,2143,4093
"Regional School District 16","=""2160012""",1215,1214,2429
"Regional School District 17","=""2170012""",1140,1180,2320
"Regional School District 18","=""2180012""",714,736,1450
"Regional School District 19","=""2190012""",630,605,1235
"Ridgefield School District","=""1180011""",2565,2731,5296
"Rocky Hill School District","=""1190011""",1243,1227,2470
"Salem School District","=""1210011""",202,226,428
"Salisbury School District","=""1220011""",150,160,310
"Scotland School District","=""1230011""",71,56,127
"Seymour School District","=""1240011""",1122,1172,2294
"Sharon School District","=""1250011""",92,96,188
"Shelton School District","=""1260011""",2520,2610,5130
"Sherman School District","=""1270011""",182,202,384
"Side By Side Charter School District","=""2700013""",115,118,233
"Simsbury School District","=""1280011""",2178,2375,4553
"Somers School District","=""1290011""",775,811,1586
"South Windsor School District","=""1320011""",2060,2261,4321
"Southington School District","=""1310011""",3306,3434,6740
"Sprague School District","=""1330011""",167,206,373
"Stafford School District","=""1340011""",868,859,1727
"Stamford Academy District","=""2820013""",54,84,138
"Stamford School District","=""1350011""",7654,8180,15834
"Sterling School District","=""1360011""",227,275,502
"Stonington School District","=""1370011""",1138,1231,2369
"Stratford School District","=""1380011""",3519,3720,7239
"Suffield School District","=""1390011""",1267,1190,2457
"The Bridge Academy District","=""2690013""",145,131,276
"The Gilbert School District","=""9020022""",219,286,505
"Thomaston School District","=""1400011""",503,514,1017
"Thompson School District","=""1410011""",563,604,1167
"Tolland School District","=""1420011""",1405,1452,2857
"Torrington School District","=""1430011""",2098,2348,4446
"Trailblazers Academy District","=""2780013""",76,92,168
"Trumbull School District","=""1440011""",3430,3507,6937
"Unified School District #1","=""3360015""",36,605,641
"Unified School District #2","=""3470015""",63,164,227
"Union School District","=""1450011""",41,"*","*"
"Vernon School District","=""1460011""",1661,1816,3477
"Voluntown School District","=""1470011""",165,156,321
"Wallingford School District","=""1480011""",3191,3101,6292
"Waterbury School District","=""1510011""",8977,9508,18485
"Waterford School District","=""1520011""",1266,1376,2642
"Watertown School District","=""1530011""",1477,1559,3036
"West Hartford School District","=""1550011""",4913,5165,10078
"West Haven School District","=""1560011""",2945,3134,6079
"Westbrook School District","=""1540011""",414,463,877
"Weston School District","=""1570011""",1168,1260,2428
"Westport School District","=""1580011""",2825,2993,5818
"Wethersfield School District","=""1590011""",1834,1869,3703
"Willington School District","=""1600011""",233,247,480
"Wilton School District","=""1610011""",2144,2168,4312
"Winchester School District","=""1620011""",308,390,698
"Windham School District","=""1630011""",1500,1723,3223
"Windsor Locks School District","=""1650011""",864,897,1761
"Windsor School District","=""1640011""",1653,1762,3415
"Wolcott School District","=""1660011""",1254,1326,2580
"Woodbridge School District","=""1670011""",375,370,745
"Woodstock Academy District","=""9030022""",543,512,1055
"Woodstock School District","=""1690011""",440,457,897
"Total","=""""",268241,286563,554804

